cpu_5sec_id,cpu_time,cpu_1,cpu_2,cpu_3,cpu_4
1,04:29:28,2.4,2.0,7.6,0.8
2,04:29:33,4.9,6.0,4.0,2.8
3,04:29:38,3.6,6.6,3.0,5.0
4,04:29:43,0.0,0.0,0.0,0.0
5,04:29:48,0.0,0.0,0.0,0.0
6,04:29:53,0.0,0.0,0.0,0.0
7,04:30:00,1.6,1.2,1.8,5.2
8,04:30:05,3.8,5.3,2.8,3.6
9,04:30:10,2.0,5.0,1.2,5.0
10,04:30:15,0.4,1.4,0.6,4.2
11,04:30:20,0.0,0.0,0.0,0.0
12,04:30:25,0.0,0.0,0.0,0.0
13,04:30:30,0.0,0.0,0.0,0.0
14,04:30:35,0.0,0.0,0.0,0.0
15,04:30:43,2.2,2.0,1.0,4.4
16,04:30:48,1.6,2.6,2.2,3.8
17,04:30:53,1.2,2.8,1.0,4.8
18,04:30:58,4.0,1.8,2.0,2.8
19,04:31:03,4.8,2.2,1.8,0.4
20,04:31:08,0.0,0.0,0.0,0.0
21,04:31:13,0.0,0.0,0.0,0.0
22,04:31:18,0.0,0.0,0.0,0.0
23,04:31:23,0.0,0.0,0.0,0.0
24,04:31:28,0.0,0.0,0.0,0.0
25,04:31:35,2.0,1.8,3.2,0.8
26,04:31:40,1.6,1.8,2.6,2.0
27,04:31:45,1.4,1.8,4.2,1.0
28,04:31:50,2.2,0.8,4.2,1.6
29,04:31:55,0.0,0.0,0.0,0.0
30,04:32:00,0.0,0.0,0.0,0.0
31,04:32:05,0.0,0.0,0.0,0.0
32,04:32:10,0.0,0.0,0.0,0.0
33,04:32:15,0.0,0.0,0.0,0.0
34,04:32:20,0.0,0.0,0.0,0.0
35,04:32:25,0.0,0.0,0.0,0.0
36,04:32:30,0.0,0.0,0.0,0.0
37,04:32:35,0.0,0.0,0.0,0.0
38,04:32:40,0.0,0.0,0.0,0.0
39,04:32:45,0.0,0.0,0.0,0.0
40,04:32:50,0.0,0.0,0.0,0.0
41,04:32:58,2.0,0.8,3.2,1.8
42,04:33:03,0.8,3.4,1.0,1.2
43,04:33:08,1.0,2.8,0.6,0.8
44,04:33:13,1.0,4.6,1.0,0.8
45,04:33:18,0.4,1.4,1.4,2.8
46,04:33:23,3.0,0.6,1.2,1.2
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
