cpu_5sec_id,cpu_time,cpu_avg
1,15:50:40,41.08
2,15:50:45,13.98
3,15:50:50,4.38
4,15:50:55,2.88
5,15:51:00,4.05
6,15:51:05,1.5
7,15:51:10,1.33
8,15:51:15,2.05
9,15:51:20,1.62
10,15:51:25,1.0
11,15:51:30,2.65
12,15:51:35,1.8
13,15:51:40,1.33
14,15:51:45,1.98
15,15:51:50,2.2
16,15:51:55,1.48
17,15:52:00,3.18
18,15:52:05,1.95
19,15:52:10,2.02
20,15:52:15,2.2
21,15:52:20,1.65
22,15:52:25,1.88
23,15:52:30,1.88
24,15:52:35,1.15
25,15:52:40,1.88
26,15:52:45,4.45
27,15:52:50,2.72
28,15:52:55,1.17
29,15:53:00,2.17
30,15:53:05,5.4
31,15:53:10,8.15
32,15:53:15,1.55
33,15:53:20,1.48
34,15:53:25,1.98
35,15:53:30,1.8
36,15:53:35,1.0
37,15:53:40,1.3
38,15:53:45,4.45
39,15:53:50,1.23
40,15:53:55,1.5
41,15:54:00,2.65
42,15:54:05,1.23
43,15:54:10,10.28
44,15:54:15,1.57
45,15:54:20,2.12
46,15:54:25,4.35
47,15:54:30,1.42
48,15:54:35,0.68
49,15:54:40,1.42
50,15:54:45,2.02
51,15:54:50,1.98
52,15:54:55,1.23
53,15:55:00,6.7
54,15:55:05,2.58
55,15:55:10,1.98
56,15:55:15,2.2
57,15:55:20,1.62
58,15:55:25,1.48
59,15:55:30,2.42
60,15:55:35,1.72
61,15:55:40,7.1
62,15:55:45,1.55
63,15:55:50,1.78
64,15:55:55,1.72
65,15:56:00,2.95
66,15:56:05,2.05
67,15:56:10,2.1
68,15:56:15,1.5
69,15:56:20,1.48
70,15:56:25,2.02
71,15:56:30,1.9
72,15:56:36,1.15
73,15:56:41,3.98
74,15:56:46,2.48
75,15:56:51,1.4
76,15:56:56,1.9
77,15:57:01,1.87
78,15:57:06,2.05
79,15:57:11,17.82
80,15:57:16,2.5
81,15:57:21,1.48
82,15:57:26,5.08
83,15:57:31,20.05
84,15:57:36,1.32
85,15:57:41,2.28
86,15:57:46,1.65
87,15:57:51,0.68
88,15:57:56,1.88
89,15:58:01,2.28
90,15:58:06,1.08
91,15:58:11,2.58
92,15:58:16,3.15
93,15:58:21,0.85
94,15:58:26,2.17
95,15:58:31,2.02
96,15:58:36,1.5
97,15:58:41,2.0
98,15:58:46,3.35
99,15:58:51,1.05
100,15:58:56,1.48
101,15:59:01,2.02
102,15:59:06,1.08
103,15:59:11,4.62
104,15:59:16,1.65
105,15:59:21,1.08
106,15:59:26,2.02
107,15:59:31,1.72
108,15:59:36,2.02
109,15:59:41,1.83
110,15:59:46,1.3
111,15:59:51,1.25
112,15:59:56,2.12
113,16:00:01,2.0
114,16:00:06,1.48
115,16:00:11,2.65
116,16:00:16,1.95
117,16:00:21,1.65
118,16:00:26,2.48
119,16:00:31,20.23
120,16:00:36,8.45
